,Subtitle,Title,Date,URL,Location_Tag,Topic_Tag
472,Press release,Russia’s aggression against Ukraine: the EU imposes restrictive measures on Viktor and Oleksandr Yanukovych,04.08.2022,https://www.consilium.europa.eu/en/press/press-releases/2022/08/04/russia-s-aggression-against-ukraine-the-eu-imposes-restrictive-measures-on-viktor-and-oleksandr-yanukovych,Ukraine,Sanctions || Ukraine
473,Council conclusions,Russia: EU renews economic sanctions over Russia’s military aggression against Ukraine for further six months,26.07.2022,https://www.consilium.europa.eu/en/press/press-releases/2022/07/26/russia-eu-renews-economic-sanctions-over-russia-s-military-aggression-against-ukraine-for-further-six-months/,Ukraine,Sanctions || Sanctions policy || Ukraine
474,Press release,Crimea and the city of Sevastopol: EU extends sanctions over Russia's illegal annexation by one year,20.06.2022,https://www.consilium.europa.eu/en/press/press-releases/2022/06/20/crimea-and-the-city-of-sevastopol-eu-extends-sanctions-over-russia-s-illegal-annexation-by-one-year,Ukraine,Sanctions || Ukraine
475,Speech/Remark,European Council: Press remarks by High Representative Josep Borrell upon arrival,31.05.2022,https://www.eeas.europa.eu/eeas/european-council-press-remarks-high-representative-josep-borrell-upon-arrival-0_en,Ukraine,Sanctions || Ukraine
476,Press release,"European Council conclusions on Ukraine, 30 May 2022",31.05.2022,https://www.consilium.europa.eu/en/press/press-releases/2022/05/31/european-council-conclusions-on-ukraine-30-may-2022,Ukraine,Sanctions || Ukraine
477,Press release,EU adopts fifth round of sanctions against Russia over its military aggression against Ukraine,08.04.2022,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,Ukraine,Sanctions || Sanctions policy || Ukraine
478,Press release,Ukraine: EU agrees fifth package of restrictive measures against Russia,08.04.2022,https://ec.europa.eu/commission/presscorner/detail/en/IP_22_2332,Ukraine,Sanctions || Sanctions policy || Ukraine
479,Press release,Russia: President of the European Commission and High Representative submit proposals for 5th sanctions package,05.04.2022,https://www.eeas.europa.eu/eeas/russia-president-european-commission-and-high-representative-submit-proposals-5th-sanctions-package_en,Ukraine,Sanctions || Sanctions policy || Ukraine
480,Statement/Declaration,"Declaration by the High Representative on behalf of the EU on the alignment of certain countries concerning restrictive measures in respect of actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine",08.11.2019,https://www.consilium.europa.eu/en/press/press-releases/2019/11/04/declaration-by-the-high-representative-on-behalf-of-the-eu-on-the-alignment-of-certain-countries-concerning-restrictive-measures-in-respect-of-ukraine/,Ukraine,Sanctions || Sanctions policy
481,Speech/Remark,Foreign Affairs Council: Press remarks by High Representative Josep Borrell at the press conference,21.02.2023,https://www.eeas.europa.eu/delegations/ukraine/foreign-affairs-council-press-remarks-high-representative-josep-borrell-press_en,Ukraine,Sanctions policy || Security || Ukraine
482,Press release,Russia’s aggression against Ukraine: the EU targets additional 54 individuals and 10 entities,22.07.2022,https://www.consilium.europa.eu/en/press/press-releases/2022/07/22/russia-s-aggression-against-ukraine-the-eu-targets-additional-54-individuals-and-10-entities/,Ukraine,Sanctions policy || Ukraine
